"Reference";"BroadFunction";"Protein";"Chr";"Strand";"G.Start";"G.End";"G.Size..nt.";"Inter.genic";"Start..cum.";"End..cum.";"N..Introns";"Size..nt..sum";"Size_prot.aa.";"Final.Description";"Closest.Organism..excl..Ophios.Sporothrix.";"Closest.Organism..excl..O.novo.ulmi.only.";"KEGG_KO.";"KEGG_Name";"Blast2GO_Annotation";"X.GO.Terms";"GO.Terms";"Enzyme.Code";"CAZy";"MEROPS_family";"SignalP";"Alterna_Splice";"SMURF";"Notes";"gene_ID"
"809";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0003.1";"I";"-";"47.942";"50.354";2.413;995;"47.942";"50.354";4;238;724;"C6 zinc finger fungal transcription factor";"Eutypa lata";"Ophiostoma piceae";"K09248";"PUT3; proline utilization trans-activator";"";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g0003"
"810";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0006.2";"I";"+";"61.487";"63.500";2.014;1.074;"61.487";"63.500";2;112;633;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g0006"
"811";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0403";"I";"+";"1.569.274";"1.572.509";3.405;3.563;"1.569.274";"1.572.678";4;261;1.047;"C2H2 zinc finger domain-containing protein";"Verticillium dahliae";"Ophiostoma piceae";"";"";"c2h2 zinc finger domain-containing protein";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g0403"
"812";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0427";"I";"+";"1.669.595";"1.670.903";1.309;2.862;"1.669.595";"1.670.903";2;130;392;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g0427"
"813";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0427.1";"I";"+";"1.671.014";"1.671.817";804;110;"1.671.014";"1.671.817";0;0;267;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"Y";"";"";"";"g0427"
"814";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0893";"I";"+";"3.415.749";"3.418.160";2.412;2.385;"3.415.749";"3.418.160";2;150;753;"C6 zinc finger fungal transcription factor";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"c6 zinc finger domain-containing protein";5;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g0893"
"815";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0923";"I";"-";"3.536.700";"3.537.779";1.08;5.866;"3.536.700";"3.537.779";0;0;359;"C6 zinc finger fungal transcription factor";"Penicillium roqueforti";"Ophiostoma piceae";"";"";"c6 finger domain";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g0923"
"816";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0933";"I";"+";"3.566.618";"3.570.248";3.631;5.739;"3.566.618";"3.570.248";1;79;1.183;"Zinc finger protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc finger protein";1;"F:binding";"-";"";"";"N";"";"";"";"g0933"
"817";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp0947";"I";"+";"3.623.539";"3.626.895";3.357;8.55;"3.623.539";"3.626.895";1;57;1.099;"C2H2 zinc finger domain-containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 finger domain containing protein";6;"F:metal ion binding; F:nucleic acid binding; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; F:DNA binding";"";"";"";"N";"";"";"";"g0947"
"818";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1010";"I";"+";"3.899.703";"3.901.125";1.423;2.066;"3.899.703";"3.901.125";1;190;410;"GATA type zinc finger protein asd-4 (Ascus development protein 4)";"Grosmannia clavigera";"Ophiostoma piceae";"K09184";"GATAF; GATA-binding protein, other eukaryote";"gata transcription factor";3;"F:metal ion binding; P:transcription, DNA-dependent; F:DNA binding";"-";"";"";"N";"";"";"";"g1010"
"819";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1079";"I";"+";"4.158.189";"4.160.897";2.709;2.592;"4.158.189";"4.160.897";0;0;902;"C6 zinc finger fungal transcription factor";"Neurospora tetrasperma";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"cluster gene";"";"g1079"
"820";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1140";"I";"+";"4.398.889";"4.399.351";463;5.55;"4.398.889";"4.399.351";1;97;121;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1140"
"821";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1173";"I";"-";"4.484.709";"4.487.420";2.712;555;"4.484.709";"4.487.420";4;294;805;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 transcription factor";9;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:DNA binding; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g1173"
"822";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1190.1";"I";"-";"4.538.969";"4.540.755";1.787;691;"4.538.969";"4.540.755";1;119;555;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 transcription factor";7;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g1190"
"823";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1193";"I";"-";"4.546.579";"4.550.275";3.697;534;"4.546.579";"4.550.275";2;130;1.188;"C6 zinc finger fungal transcription factor";"Gaeumannomyces graminis";"Ophiostoma piceae";"";"";"c6 zinc finger domain-containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g1193"
"824";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1227";"I";"+";"4.682.719";"4.685.574";2.856;7.575;"4.682.719";"4.685.574";0;0;951;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 finger domain-containing protein";4;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; C:nucleus; F:zinc ion binding";"-";"";"";"N";"";"";"";"g1227"
"825";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1320";"I";"-";"5.022.754";"5.024.733";2.241;371;"5.022.754";"5.024.994";1;117;707;"C6 zinc finger domain containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain protein";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g1320"
"826";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1713";"I";"+";"6.472.985";"6.475.975";2.991;2.621;"6.472.985";"6.475.975";1;126;954;"C2H2 type zinc finger domain containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 zinc finger protein";2;"C:cytoplasm; C:cellular_component";"";"";"";"N";"";"";"";"g1713"
"827";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1934";"II";"-";"292.153";"294.988";2.836;657;"7.230.085";"7.232.920";5;280;851;"Zinc finger transcription factor YRR1 (Pleiotropic drug-resistance protein 2)";"Podospora anserina";"Ophiostoma piceae";"";"";"hypothetical protein";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g1934"
"828";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp1959";"II";"+";"421.915";"423.460";1.546;9.94;"7.359.847";"7.361.392";1;61;494;"Putative C2H2 zinc finger protein";"Podospora anserina";"Ophiostoma piceae";"K09219";"SCRT; scratch";"c2h2 zinc finger protein";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g1959"
"829";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2122";"II";"-";"1.043.740";"1.044.282";543;372;"7.981.672";"7.982.214";2;168;124;"Zinc finger protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc finger protein";1;"F:zinc ion binding";"-";"";"";"N";"";"";"";"g2122"
"830";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2314";"II";"-";"1.865.340";"1.866.293";954;8.055;"8.803.272";"8.804.225";0;0;317;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zn 2cys6 transcription factor";1;"F:binding";"-";"";"";"N";"";"";"";"g2314"
"831";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2331";"II";"-";"1.936.193";"1.937.971";1.779;1.183;"8.874.125";"8.875.903";0;0;592;"SET domain and MYND-type zinc finger protein 6";"Grosmannia clavigera";"Ophiostoma piceae";"K11426";"SMYD; SET and MYND domain-containing protein";"set and mynd domain protein";3;"F:metal ion binding; F:zinc ion binding; P:biological_process";"";"";"";"N";"";"";"";"g2331"
"832";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2360";"II";"-";"2.038.806";"2.039.973";1.168;603;"8.976.738";"8.977.905";2;127;346;"Zinc finger DNA-binding protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc finger dna-binding protein";3;"F:nucleic acid binding; F:zinc ion binding; F:DNA binding";"";"";"";"N";"";"";"";"g2360"
"833";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2394";"II";"-";"2.167.766";"2.170.100";2.335;972;"9.105.698";"9.108.032";2;235;699;"Zinc finger and SCAN domain-containing protein 21 (Transcription factor RU49)";"Grosmannia clavigera";"Ophiostoma piceae";"K09228";"KRAB; KRAB domain-containing zinc finger protein";"zinc finger protein csr1p";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g2394"
"834";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2490";"II";"+";"2.543.406";"2.545.400";1.995;22.65;"9.481.338";"9.483.332";2;714;426;"C6 zinc finger domain containing protein";"Magnaporthe oryzae";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";2;"P:regulation of cellular process; P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g2490"
"835";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2508";"II";"+";"2.604.436";"2.605.413";978;827;"9.542.368";"9.543.345";1;66;303;"C2H2 type zinc finger domain-containing protein";"Verticillium dahliae";"Ophiostoma piceae";"";"";"zinc finger protein";2;"F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g2508"
"836";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2675";"II";"-";"3.265.368";"3.267.737";2.37;300;"10.203.300";"10.205.669";1;81;762;"C6 zinc finger domain containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g2675"
"837";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2780";"II";"+";"3.632.176";"3.634.838";2.663;3.886;"10.570.108";"10.572.770";1;65;865;"Zinc finger protein 1";"Colletotrichum sublineola";"Ophiostoma piceae";"";"";"hypothetical protein GLRG_00346";2;"P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g2780"
"838";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp2828";"II";"-";"3.793.296";"3.797.967";4.672;719;"10.731.228";"10.735.899";4;463;1.402;"Putative C6 zinc finger domain fungal transcription factor";"Podospora anserina";"Podospora anserina";"";"";"sequence-specific dna binding protein";5;"P:regulation of transcription, DNA-dependent; F:nucleic acid binding; P:transcription, DNA-dependent; C:nucleus; F:sequence-specific DNA binding transcription factor activity";"";"";"";"N";"";"";"";"g2828"
"839";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3212";"II";"+";"5.166.477";"5.169.559";3.083;2.204;"12.104.409";"12.107.491";1;74;1.002;"C6 zinc finger domain containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g3212"
"840";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3261";"II";"-";"5.338.815";"5.340.365";1.551;184;"12.276.747";"12.278.297";0;0;516;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc finger transcription factor";2;"F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g3261"
"841";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3433";"II";"-";"6.018.819";"6.022.057";3.239;346;"12.956.751";"12.959.989";2;104;1.044;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 type zinc finger domain protein";11;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:nucleic acid binding; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; C:intracellular; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g3433"
"842";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3441";"II";"-";"6.037.162";"6.040.001";2.84;3.096;"12.975.094";"12.977.933";1;95;914;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";1;"P:transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g3441"
"843";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3453";"II";"-";"6.067.438";"6.071.308";3.871;386;"13.005.370";"13.009.240";1;169;1.233;"Respiration factor 2 (Zinc finger protein ZMS1)";"Colletotrichum graminicola";"Ophiostoma piceae";"";"";"dna binding regulatory protein";1;"F:binding";"-";"";"";"N";"";"";"";"g3453"
"844";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3721.1";"III";"+";"151.974";"153.943";1.97;2.571;"13.907.617";"13.909.586";2;179;596;"C6 zinc finger fungal transcription factor";"Myceliophthora thermophila";"Ophiostoma piceae";"";"";"";6;"P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; C:nucleus";"";"";"";"N";"";"";"";"g3721"
"845";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3771.1";"III";"+";"340.025";"342.181";2.157;336;"14.095.668";"14.097.824";0;0;718;"C2H2 zinc finger and ankyrin domain protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"ankyrin repeat-containing protein";1;"F:metal ion binding";"";"";"";"N";"";"";"";"g3771"
"846";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3880";"III";"+";"710.169";"712.400";2.232;1.949;"14.465.812";"14.468.043";0;0;743;"Zinc finger protein C11D3.17";"Trichoderma virens";"Ophiostoma piceae";"";"";"tpa: c2h2 finger domain transcription factor";9;"F:nucleic acid binding; P:transcription, DNA-dependent; F:zinc ion binding; C:nucleus; C:intracellular; F:DNA binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process; F:monooxygenase activity";"";"";"";"N";"";"";"";"g3880"
"847";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3894";"III";"+";"760.536";"761.728";1.193;5.083;"14.516.179";"14.517.371";1;56;378;"Zinc finger protein GLI4 (Neural-specific DNA-binding protein xGLI4)";"Nectria haematococca";"Ophiostoma piceae";"";"";"c2h2 finger domain containing protein";3;"F:zinc ion binding; C:intracellular; F:nucleic acid binding";"";"";"";"N";"";"";"";"g3894"
"848";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp3916";"III";"+";"847.955";"850.804";2.85;4.962;"14.603.598";"14.606.447";1;63;928;"ZZ-type zinc finger-containing protein P35G2.11c";"Togninia minima";"Ophiostoma piceae";"";"";"zz type zinc finger domain-containing protein";3;"F:zinc ion binding; P:biological_process; C:cellular_component";"";"";"";"N";"";"";"";"g3916"
"849";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4024";"III";"-";"1.306.463";"1.308.283";1.821;1.021;"15.062.106";"15.063.926";1;114;568;"C2H2 zinc finger domain-containing protein";"Penicillium rubens";"Ophiostoma piceae";"K09228";"KRAB; KRAB domain-containing zinc finger protein";"unidentified protein family upf0406";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g4024"
"850";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4027";"III";"-";"1.319.070";"1.321.544";2.475;539;"15.074.713";"15.077.187";1;72;800;"Zinc finger protein 1";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain-containing protein";2;"P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent";"-";"";"";"N";"";"";"";"g4027"
"851";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4190";"III";"-";"1.899.334";"1.902.017";2.684;485;"15.654.977";"15.657.660";1;125;852;"Zinc finger CCCH domain-containing protein 45 (OsC3H45)";"Chaetomium thermophilum";"Ophiostoma piceae";"";"";"yth-domain-containing partial";4;"C:endoplasmic reticulum membrane; P:GPI anchor biosynthetic process; C:integral to membrane; F:transferase activity, transferring hexosyl groups";"";"";"";"N";"";"";"";"g4190"
"852";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4252";"III";"-";"2.118.726";"2.123.924";5.199;804;"15.874.369";"15.879.567";0;0;1.732;"C-X8-C-X5-C-X3-H type zinc finger protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc finger protein";2;"F:nucleic acid binding; F:zinc ion binding";"";"";"";"N";"";"";"";"g4252"
"853";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4436";"III";"-";"2.777.856";"2.779.362";1.507;1.539;"16.533.499";"16.535.005";2;130;458;"Zinc finger protein 143 (Selenocysteine tRNA gene transcription-activating factor)";"Grosmannia clavigera";"Ophiostoma piceae";"K09230";"SCAN; SCAN domain-containing zinc finger protein";"zinc finger protein 32";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g4436"
"854";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4500";"III";"-";"3.037.223";"3.038.505";1.283;1.653;"16.792.866";"16.794.148";1;62;406;"Zinc finger protein 143 (Selenocysteine tRNA gene transcription-activating factor)";"Myceliophthora thermophila";"Ophiostoma piceae";"K06235";"ZIC2; zinc finger protein ZIC 2";"related to epithelial zinc-finger ezf protein";3;"F:zinc ion binding; F:nucleic acid binding; C:intracellular";"";"";"";"N";"";"";"";"g4500"
"855";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4580";"III";"-";"3.312.662";"3.315.688";3.027;2.162;"17.068.305";"17.071.331";2;273;917;"Zinc finger transcription factor ace1 (ACEI)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"zinc finger transcription factor ace1";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"Y";"";"";"g4580"
"856";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4688";"IV";"+";"100.776";"101.423";648;1.193;"17.526.191";"17.526.838";0;0;215;"C6 zinc finger fungal transcription factor";"Colletotrichum gloeosporioides";"Ophiostoma piceae";"";"";"c6 transcription";0;"-";"";"";"";"N";"";"";"";"g4688"
"857";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp4818";"IV";"+";"534.709";"537.300";2.592;2.251;"17.960.124";"17.962.715";0;0;863;"Zinc finger CCCH domain-containing protein 4";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"ccch zinc finger and smr domain-containing protein";1;"F:binding";"-";"";"";"N";"";"";"";"g4818"
"858";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5131";"IV";"+";"1.644.881";"1.646.630";1.75;1.354;"19.070.296";"19.072.045";3;334;471;"Zinc finger CCCH domain-containing protein C337.12";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"ccch zinc finger protein";1;"F:binding";"-";"";"";"N";"";"";"";"g5131"
"859";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5153";"IV";"+";"1.700.155";"1.703.869";3.715;1.822;"19.125.570";"19.129.284";2;541;1.057;"C6 zinc finger domain fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 transcription factor";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g5153"
"860";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5578";"IV";"+";"3.215.096";"3.215.914";819;4.774;"20.640.511";"20.641.329";0;0;272;"Zinc finger C2H2-like protein";"Chaetomium globosum";"Chaetomium globosum";"";"";"zinc finger c2h2-like protein";3;"F:zinc ion binding; F:nucleic acid binding; C:intracellular";"-";"";"";"N";"";"";"";"g5578"
"861";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5669";"V";"-";"115.856";"119.500";3.645;2.1;"20.960.974";"20.964.618";0;0;1.214;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";"";"";"";"N";"";"";"";"g5669"
"862";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5671";"V";"-";"127.012";"128.676";1.665;105;"20.972.130";"20.973.794";0;0;554;"C6 zinc finger fungal transcription factor";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";2;"P:cellular macromolecule metabolic process; P:nucleic acid metabolic process";"-";"";"";"N";"";"";"";"g5671"
"863";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5737";"V";"+";"347.244";"349.700";2.457;22.046;"21.192.362";"21.194.818";1;282;724;"Zinc finger protein PLAG1 (Pleiomorphic adenoma gene 1 protein)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c2h2 finger domain containing protein";3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";"";"";"";"N";"";"";"";"g5737"
"864";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5746";"V";"+";"394.086";"396.232";2.147;8.986;"21.239.204";"21.241.350";4;284;620;"C6 zinc finger domain containing protein";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"c6 zinc finger domain containing protein";5;"F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription from RNA polymerase II promoter; P:mycelium development; C:nucleus; F:zinc ion binding";"-";"";"";"N";"Y";"";"";"g5746"
"865";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp5789";"V";"+";"582.486";"587.740";5.255;1.631;"21.427.604";"21.432.858";1;62;1.73;"Zinc finger MIZ domain-containing protein 1 (Retinoic acid-induced protein 17)";"Grosmannia clavigera";"Ophiostoma piceae";"";"";"miz zinc finger domain containing protein";2;"F:zinc ion binding; F:metal ion binding";"";"";"";"N";"";"";"";"g5789"
"866";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp6250";"V";"-";"2.231.171";"2.233.663";2.493;1.417;"23.076.289";"23.078.781";3;321;723;"Zinc finger CCCH domain-containing protein 45 (OsC3H45)";"Nectria haematococca";"Ophiostoma piceae";"";"";"yt521-b-like splicing factor";2;"F:nucleic acid binding; F:nucleotide binding";"";"";"";"N";"Y";"";"";"g6250"
"867";"L.Bernier oral presentation (unpublished data)";"Zinc-finger";"OphioH327gp6337";"V";"+";"2.530.269";"2.533.200";2.932;1;"23.375.387";"23.378.318";1;64;955;"Zinc finger protein C1039.05c";"Colletotrichum fioriniae";"Ophiostoma piceae";"";"";"zinc c2h2 type domain containing protein";1;"F:binding";"-";"";"";"N";"";"";"";"g6337"
